"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"B6","SFO","FLL","JFK","-7","-5","11","-5"
"B6","SFO","FLL","JFK","-7","206","226","206"
"AA","SFO","ORD","JFK","-1","9","42","9"
"VX","SFO","LAX","JFK","2","-11","5","-11"
"DL","SFO","DTW","JFK","3","91","104","91"
"DL","SFO","ATL","JFK","1","-3","11","-3"
"AA","SFO","MIA","JFK","-5","95","125","95"
"VX","SFO","LAX","JFK","3","-22","3","-22"
"DL","SFO","ATL","JFK","-5","324","351","324"
"VX","SFO","LAX","JFK","39","-9","14","-9"
"VX","SFO","LAX","JFK","-1","-9","14","-9"
"VX","SFO","LAS","JFK","8","-9","13","-9"
"VX","SFO","LAX","JFK","-3","7","31","7"
"VX","SFO","LAS","JFK","-2","-9","13","-9"
"VX","SFO","LAX","JFK","11","7","31","7"
"B6","SFO","BOS","JFK","141","66","68","66"
"AA","SFO","MIA","JFK","-2","4","1","4"
"B6","SFO","FLL","JFK","25","-14","-4","-14"
"B6","SFO","FLL","JFK","25","-16","-5","-16"
"DL","SFO","ATL","JFK","0","-3","14","-3"
"DL","SFO","ATL","JFK","14","41","58","41"
"AA","SFO","MIA","JFK","-3","10","3","10"
"VX","SFO","LAX","JFK","-3","-23","4","-23"
"VX","SFO","LAX","JFK","0","-23","4","-23"
"B6","SFO","FLL","JFK","27","-5","10","-5"
"B6","SFO","FLL","JFK","27","30","37","30"
"AA","SFO","ORD","JFK","6","69","95","69"
"VX","SFO","LAX","JFK","0","1","3","1"
"DL","SFO","ATL","JFK","3","8","27","8"
"DL","SFO","ATL","JFK","3","148","172","148"
"AA","SFO","MIA","JFK","-8","-17","12","-17"
"VX","SFO","LAX","JFK","-3","-14","-1","-14"
"VX","SFO","LAX","JFK","38","6","16","6"
"VX","SFO","LAX","JFK","26","6","16","6"
"VX","SFO","LAS","JFK","20","-1","23","-1"
"VX","SFO","LAX","JFK","2","-10","26","-10"
"VX","SFO","LAS","JFK","-3","-1","23","-1"
"B6","SFO","BOS","JFK","33","1","2","1"
"AA","SFO","MIA","JFK","3","-20","-7","-20"
"B6","SFO","FLL","JFK","475","2","17","2"
"B6","SFO","FLL","JFK","475","-6","8","-6"
"DL","SFO","ATL","JFK","5","-7","9","-7"
"AA","SFO","ORD","JFK","-2","4","13","4"
"DL","SFO","ATL","JFK","-2","-20","0","-20"
"AA","SFO","MIA","JFK","-2","-5","-2","-5"
"VX","SFO","LAX","JFK","6","-38","-1","-38"
"DL","SFO","ATL","JFK","7","-16","-3","-16"
"DL","SFO","ATL","JFK","-6","-16","-3","-16"
"B6","SFO","FLL","JFK","-4","0","6","0"
"B6","SFO","FLL","JFK","-4","49","57","49"
"AA","SFO","ORD","JFK","-7","-35","-3","-35"
"VX","SFO","LAX","JFK","-4","-31","-2","-31"
"DL","SFO","ATL","JFK","-4","-16","3","-16"
"VX","SFO","LAX","JFK","29","122","145","122"
"AA","SFO","CLT","JFK","-2","24","2","24"
"AA","SFO","PHX","JFK","-4","0","1","0"
"AA","SFO","LAX","JFK","0","0","-5","0"
"AA","SFO","LAX","JFK","0","0","10","0"
"DL","SFO","LAX","JFK","114","22","35","22"
"AA","SFO","PHX","JFK","4","3","-1","3"
"DL","SFO","LAX","JFK","-4","22","35","22"
"AA","SFO","CLT","JFK","22","6","14","6"
"DL","SFO","LAX","JFK","-6","51","72","51"
"AA","SFO","PHX","JFK","3","11","9","11"
"DL","SFO","MSP","JFK","-2","57","69","57"
"AA","SFO","CLT","JFK","1","6","14","6"
"AS","SFO","SEA","JFK","0","-25","8","-25"
"AA","SFO","PHX","JFK","-4","-12","3","-12"
"B6","SFO","LAS","JFK","-10","6","0","6"
"DL","SFO","LAX","JFK","99","24","12","24"
"AS","SFO","SEA","JFK","-6","-25","8","-25"
"AA","SFO","LAX","JFK","-4","-4","7","-4"
"AA","SFO","LAX","JFK","-4","-11","-3","-11"
"DL","SFO","LAX","JFK","93","70","36","70"
"AA","SFO","CLT","JFK","5","-4","5","-4"
"AA","SFO","DFW","JFK","0","78","86","78"
"DL","SFO","LAX","JFK","-1","-31","6","-31"
"AA","SFO","PHX","JFK","-3","-16","-1","-16"
"AA","SFO","DFW","JFK","6","78","86","78"
"DL","SFO","LAX","JFK","-2","-11","-1","-11"
"B6","SFO","LAS","JFK","1","-33","-10","-33"
"AA","SFO","PHX","JFK","-5","-5","10","-5"
"DL","SFO","LAX","JFK","-4","16","-5","16"
"DL","SFO","LAX","JFK","-4","-33","-1","-33"
"AA","SFO","CLT","JFK","35","0","3","0"
"DL","SFO","LAX","JFK","13","-12","0","-12"
"AA","SFO","LAX","JFK","74","-15","-2","-15"
"AA","SFO","PHX","JFK","16","-15","3","-15"
"B6","SFO","LAS","JFK","-1","-11","-1","-11"
"DL","SFO","LAX","JFK","28","-26","-1","-26"
"AA","SFO","LAX","JFK","-3","-15","-2","-15"
"AA","SFO","LAX","JFK","10","-7","-4","-7"
"AA","SFO","CLT","JFK","-5","29","33","29"
